Date,Description,Amount
01/01/2025,Rent Payment - Sunrise Apartments,-1450.00
01/01/2025,Employer Payroll Direct Dep,2650.00
01/01/2025,Local Pizza Co,-25.13
01/03/2025,Geico Insurance,-135.25
01/04/2025,Planet Fitness,-24.99
01/05/2025,Netflix.com,-15.49
01/05/2025,Airbnb,-257.17
01/05/2025,Ticketmaster,-81.98
01/06/2025,Best Buy,-292.19
01/06/2025,Trader Joe's,-69.22
01/06/2025,The Cheesecake Factory,-62.27
01/07/2025,Spotify USA,-11.99
01/07/2025,H&M,-74.96
01/08/2025,REI,-100.87
01/09/2025,Best Buy,-292.41
01/10/2025,Comcast Xfinity,-92.36
01/10/2025,Chase Credit Card Payment,-473.79
01/10/2025,CVS Pharmacy,-39.14
01/11/2025,Lyft,-13.06
01/12/2025,PG&E Electric,-107.37
01/12/2025,Trader Joe's,-63.93
01/12/2025,PetSmart,-20.97
01/13/2025,CVS Pharmacy,-16.86
01/13/2025,Amazon.com,-132.92
01/13/2025,Sushi Kama,-28.00
01/14/2025,Verizon Wireless,-83.92
01/14/2025,Starbucks,-8.91
01/15/2025,Employer Payroll Direct Dep,2650.00
01/15/2025,Local Pizza Co,-19.80
01/16/2025,Chevron,-41.63
01/17/2025,Airbnb,-341.80
01/17/2025,Lyft,-24.26
01/17/2025,Local Bar & Grill,-54.83
01/18/2025,Amazon Prime,-14.99
01/18/2025,Marriott Hotels,-265.95
01/18/2025,Marriott Hotels,-156.94
01/19/2025,Kaiser Permanente Copay,-20.42
01/20/2025,Target,-20.72
01/20/2025,Chipotle,-10.37
01/21/2025,Kaiser Permanente Copay,-21.42
01/21/2025,Amazon.com,-48.99
01/21/2025,PetSmart,-30.71
01/22/2025,NYTimes Subscription,-17.00
01/23/2025,Venmo Payment,-30.79
01/23/2025,Venmo Payment,-67.49
01/23/2025,Lyft,-11.89
01/24/2025,AMC Theatres,-20.78
01/24/2025,ATM Withdrawal,-91.83
01/25/2025,Student Loan Servicer,-220.00
01/26/2025,DoorDash,-19.64
01/26/2025,Kaiser Permanente Copay,-36.01
01/28/2025,Marriott Hotels,-159.63
01/29/2025,Employer Payroll Direct Dep,2650.00
01/29/2025,ATM Withdrawal,-54.99
